"","Not enough","Basic","Good","Excellent","Don't remember","Good_Exc","Basic_Good_Exc","Complete_Doc","Never","Rarely","Sometimes","Often","Sometimes_More","Often_More","Use_Counts","Not relevant","Slightly relevant","Important","Essential","Slightly_More","Important_More","Key"
"moveNT",0,1,0,0,0,0,100,1,224,0,0,1,100,100,1,0,0,1,0,100,100,0
"moveVis",4,6,17,5,6,68.75,87.5,32,187,20,13,5,47.3684210526316,13.1578947368421,38,5,22,9,2,42.1052631578947,28.9473684210526,5.26315789473684
"moveWindSpeed",1,1,0,0,1,0,50,2,222,1,2,0,66.6666666666667,0,3,1,2,0,0,33.3333333333333,0,0
"nparACT",0,0,0,0,0,NA,NA,0,225,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA
"pathtrackr",0,0,0,0,1,NA,NA,0,224,1,0,0,0,0,1,1,0,0,0,100,0,0
"pawacc",0,1,0,0,0,0,100,1,224,1,0,0,0,0,1,0,1,0,0,0,0,0
"PhysicalActivity",0,0,0,0,0,NA,NA,0,225,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA
"probGLS",0,1,2,2,1,80,100,5,219,1,2,3,83.3333333333333,50,6,0,1,2,3,83.3333333333333,83.3333333333333,50
"rbl",0,1,3,0,2,75,100,4,219,1,3,2,83.3333333333333,33.3333333333333,6,1,2,3,0,66.6666666666667,50,0
"recurse",1,3,8,5,12,76.4705882352941,94.1176470588235,17,196,14,12,3,51.7241379310345,10.3448275862069,29,2,8,14,5,72.4137931034483,65.5172413793103,17.2413793103448
"rhr",0,6,4,1,2,45.4545454545455,100,11,212,7,3,3,46.1538461538462,23.0769230769231,13,2,6,4,1,53.8461538461538,38.4615384615385,7.69230769230769
"rpostgisLT",0,1,2,0,2,66.6666666666667,100,3,220,3,2,0,40,0,5,0,1,3,1,80,80,20
"rsMove",2,0,2,1,6,60,60,5,214,7,3,1,36.3636363636364,9.09090909090909,11,0,8,1,2,27.2727272727273,27.2727272727273,18.1818181818182
"SDLfilter",0,0,2,2,4,100,100,4,217,2,4,2,75,25,8,0,3,2,3,62.5,62.5,37.5
"SGAT/TripEstimation",6,4,6,2,6,44.4444444444444,66.6666666666667,18,201,8,12,4,66.6666666666667,16.6666666666667,24,2,9,7,6,62.5,54.1666666666667,25
"sigloc",1,0,0,0,1,0,0,1,223,2,0,0,0,0,2,0,2,0,0,0,0,0
"SimilarityMeasures",0,0,1,0,0,100,100,1,224,0,1,0,100,0,1,0,0,1,0,100,100,0
"SiMRiv",0,0,2,1,0,100,100,3,222,1,1,1,66.6666666666667,33.3333333333333,3,0,0,2,1,100,100,33.3333333333333
"smam",0,0,0,0,0,NA,NA,0,225,0,0,0,NA,NA,0,0,0,0,0,NA,NA,NA
"SwimR",1,0,0,0,1,0,0,1,223,2,0,0,0,0,2,2,0,0,0,100,0,0
"T-LoCoH",4,5,10,7,17,65.3846153846154,84.6153846153846,26,182,29,10,4,32.5581395348837,9.30232558139535,43,5,22,13,3,48.8372093023256,37.2093023255814,6.97674418604651
"telemetr",0,2,0,0,0,0,100,2,223,1,1,0,50,0,2,1,1,0,0,50,0,0
"trackdem",0,1,0,0,0,0,100,1,224,1,0,0,0,0,1,0,0,1,0,100,100,0
"trackeR",0,1,0,0,1,0,100,1,223,1,1,0,50,0,2,0,1,1,0,50,50,0
"trackit",2,0,1,1,2,50,50,4,219,3,3,0,50,0,6,1,4,1,0,33.3333333333333,16.6666666666667,0
"TrackReconstruction",0,1,1,0,2,50,100,2,221,3,1,0,25,0,4,2,0,1,1,100,50,25
"TrajDataMining",0,0,1,0,0,100,100,1,224,1,0,0,0,0,1,0,0,1,0,100,100,0
"trajectories",0,2,1,0,6,33.3333333333333,100,3,216,5,3,1,44.4444444444444,11.1111111111111,9,2,5,1,1,44.4444444444444,22.2222222222222,11.1111111111111
"trip",1,7,9,4,15,61.9047619047619,95.2380952380952,21,189,12,11,13,66.6666666666667,36.1111111111111,36,3,12,12,9,66.6666666666667,58.3333333333333,25
"TwGeos/BAStag",3,5,6,2,5,50,81.25,16,204,7,9,5,66.6666666666667,23.8095238095238,21,2,5,7,7,76.1904761904762,66.6666666666667,33.3333333333333
"TwilightFree",0,3,4,0,2,57.1428571428571,100,7,216,4,2,3,55.5555555555556,33.3333333333333,9,1,3,3,2,66.6666666666667,55.5555555555556,22.2222222222222
"ukfsst/kfsst",0,2,0,1,4,33.3333333333333,100,3,218,3,4,0,57.1428571428571,0,7,0,6,1,0,14.2857142857143,14.2857142857143,0
"VTrack",0,0,2,0,0,100,100,2,223,1,1,0,50,0,2,0,1,0,1,50,50,50
"wildlifeDI",0,3,8,5,4,81.25,100,16,205,6,11,3,70,15,20,1,7,6,6,65,60,30
